"","Cumul_N","Sdt_DD.trend","SE","df","lower.CL","upper.CL","t.ratio","p.value","model"
"72",1680,-0.433948590891921,0.303840418399257,37.0696938203731,-1.04954868957959,0.181651507795749,-1.42821219500066,0.16160246095993,"Biomass"
"73",350,152.072180486215,54.3115922051766,37.523486624705,42.0782398946379,262.066121077792,2.79999488712689,0.0080291110406591,"Ncost"
"74",560,122.33661791804,44.7176292079104,37.5378436459124,31.773895228583,212.899340607497,2.73575813577342,0.00945016589699438,"Ncost"
"75",1050,52.9536385922993,30.4480982955563,37.3854316425974,-8.71860639755217,114.625883582151,1.73914436554573,0.0902386333510977,"Ncost"
"76",1680,-36.2530491122035,43.6119589527909,37.1072122377411,-124.610654422626,52.1045561982186,-0.831263946465846,0.411141762263457,"Ncost"
"77",350,0.172464809809675,0.613603279221309,37.3207474078046,-1.0704529548688,1.41538257448815,0.281068918061423,0.780209986310984,"Ecost"
"78",560,0.0197004032320018,0.505218816759764,37.3295653542085,-1.00366518350291,1.04306598996692,0.0389938034342246,0.969103129128768,"Ecost"
"79",1050,-0.336749878782563,0.343954931245855,37.2360056265921,-1.03351969898109,0.360019941415962,-0.979052335615037,0.333872613373818,"Ecost"
"80",1680,-0.795043098515469,0.49253697485391,37.0653447509032,-1.79295842026902,0.202872223238086,-1.61417952175323,0.114970853981446,"Ecost"
"81",350,1.45689424168096,0.526519300056556,37.8487605460987,0.390871757057465,2.52291672630446,2.76702913174212,0.00870320680981822,"beta plant"
"82",560,1.19728406461801,0.433502050211733,37.8719310241426,0.319607577263184,2.07496055197284,2.76188789426308,0.00881560901773673,"beta plant"
"83",1050,0.591526984804468,0.295237616591413,37.6256785785343,-0.00634564980880348,1.18939961941774,2.00356239030034,0.05235736415066,"beta plant"
"84",1680,-0.187303546384191,0.423055636651909,37.1753754377855,-1.04435921146219,0.669752118693806,-0.44273974899974,0.660519541859607,"beta plant"
