Name,chlorophyll_absorbance:649,chlorophyll_absorbance:665,Blank chlorophyll_absorbance:649,Blank chlorophyll_absorbance:665
B5_HN_SPD_P1_t4,0.183,0.406,0.143,0.365
B5_HN_SPD_P2_t4,0.18,0.414,0.14,0.374
B5_HN_SPD_P2_t4,0.207,0.481,0.166,0.441
B5_HN_SPD_P2_t4,0.19,0.441,0.149,0.4
B5_HN_SPD_P3_t4,0.192,0.412,0.152,0.371
B5_HN_SPD_P3_t4,0.162,0.339,0.122,0.299
B5_HN_SPD_P3_t4,0.152,0.314,0.112,0.274
B5_HN_SPD_P4_t4,0.169,0.373,0.128,0.333
B5_HN_SPD_P4_t4,0.165,0.359,0.124,0.319
B5_HN_SPD_P4_t4,0.148,0.32,0.108,0.28
B5_HN_SPD_P5_t4,0.219,0.525,0.179,0.485
B5_HN_SPD_P5_t4,0.262,0.637,0.221,0.597
B5_HN_SPD_P5_t4,0.255,0.612,0.214,0.572
B5_HN_SPD_P6_t4,0.244,0.555,0.203,0.515
B5_HN_SPD_P6_t4,0.178,0.391,0.138,0.351
B5_HN_SPD_P6_t4,0.191,0.424,0.151,0.384
B5_HN_SPD_P7_t4,0.193,0.428,0.153,0.388
B5_HN_SPD_P7_t4,0.155,0.331,0.114,0.291
B5_HN_SPD_P7_t4,0.197,0.438,0.156,0.398
B5_HN_SPD_P8_t4,0.19,0.413,0.149,0.373
B5_HN_SPD_P8_t4,0.195,0.43,0.155,0.39
B5_HN_SPD_P8_t4,0.166,0.356,0.126,0.315
B6_HN_FDD_P1_t4,0.255,0.577,0.214,0.537
B6_HN_FDD_P1_t4,0.207,0.456,0.167,0.415
B6_HN_FDD_P1_t4,0.251,0.565,0.21,0.525
B6_HN_FDD_P2_t4,0.19,0.416,0.15,0.376
B6_HN_FDD_P2_t4,0.201,0.444,0.161,0.404
B6_HN_FDD_P2_t4,0.175,0.377,0.135,0.337
B6_HN_FDD_P3_t4,0.258,0.65,0.218,0.61
B6_HN_FDD_P3_t4,0.197,0.479,0.156,0.439
B6_HN_FDD_P3_t4,0.254,0.643,0.213,0.603
B6_HN_FDD_P4_t4,0.227,0.523,0.187,0.482
B6_HN_FDD_P4_t4,0.17,0.371,0.129,0.33
B6_HN_FDD_P4_t4,0.163,0.356,0.123,0.316
B6_HN_FDD_P5_t4,0.224,0.512,0.183,0.472
B6_HN_FDD_P5_t4,0.215,0.497,0.175,0.457
B6_HN_FDD_P5_t4,0.216,0.498,0.175,0.458
B6_HN_FDD_P6_t4,0.232,0.518,0.192,0.477
B6_HN_FDD_P6_t4,0.178,0.382,0.137,0.342
B6_HN_FDD_P6_t4,0.16,0.339,0.119,0.299
B6_HN_FDD_P7_t4,0.247,0.567,0.207,0.527
B6_HN_FDD_P7_t4,0.253,0.574,0.212,0.534
B6_HN_FDD_P7_t4,0.228,0.505,0.188,0.465
B6_HN_FDD_P8_t4,0.308,0.776,0.267,0.736
B6_HN_FDD_P8_t4,0.212,0.511,0.172,0.471
B6_HN_FDD_P8_t4,0.192,0.457,0.151,0.417
B7_LN_WW_P1_t4,0.262,0.627,0.221,0.587
B7_LN_WW_P1_t4,0.265,0.633,0.224,0.593
B7_LN_WW_P1_t4,0.274,0.654,0.233,0.614
B7_LN_WW_P2_t4,0.189,0.433,0.148,0.393
B7_LN_WW_P2_t4,0.139,0.306,0.099,0.266
B7_LN_WW_P2_t4,0.166,0.376,0.126,0.336
