id_plant,date,ID_trt,block,plant,n_trt,drought,tmp,VPD,DAD,Cumul_FC,Cumul_N,Cumul_DD,time,machine,anet_420,ci_420,gs_420,vpd_leaf,temperature_leaf,vcmax_tleaf,vcmax_tleaf_se,jmax_tleaf,jmax_tleaf_se,rd_tleaf,rd_tleaf_se,TPU,TPU_se,aci_RMSE,aci_ci_transistion,aci_ci_transition_set,aci_km,aci_gammastar,aci_fitmethod,aci_tcorrect,aci_fittpu,deltaC13,percentage_C,percentage_N,total_leaves,stem,rep_org,senescence,roots,transpiration
ln_b3_p5,24-May,B3,3,5,LN,predrought,29.16,1.95,0,13.7704918,175,0,t1,gibson,38.5727036,273.5642783,0.811013817,1.501374096,25.00675796,177.2478088,1.431533296,294.5957718,NA,4.064292267,0.206384815,12.97969113,NA,9.06066122,260.3739296,NA,710.7374068,42.76484002,bilinear,FALSE,TRUE,-30.88,41.51627212,3.715834488,,,,,,
ln_b3_p6,24-May,B3,3,6,LN,predrought,29.16,1.95,0,13.7704918,175,0,t1,stan,33.3932851,256.790311,0.523723934,1.498116494,24.98393686,157.7454848,1.413745495,273.9651,NA,1.826239453,0.258097544,14.89506825,NA,5.794574194,293.9396728,NA,709.337455,42.71488654,bilinear,FALSE,TRUE,-32.14,40.64160184,5.028979646,,,,,,
ln_b3_p7,25-May,B3,3,7,LN,predrought,29.16,1.95,0,13.7704918,175,0,t1,stan,23.28934033,269.9745452,0.364080517,1.499905418,24.98310954,123.3961721,2.470831539,223.4630212,NA,5.846860641,0.491103949,13.8706478,NA,5.763406276,345.2194548,NA,709.2882959,42.71310482,bilinear,FALSE,TRUE,-30.01,37.70843315,4.125266095,,,,,,
ln_b3_p8,24-May,B3,3,8,LN,predrought,29.16,1.95,0,13.7704918,175,0,t1,gibson,32.72686722,277.5863652,0.642819271,1.50119852,25.00901612,148.9574724,1.550197272,273.7719671,NA,4.052006528,0.306298794,13.59684526,NA,12.51636764,331.7212407,NA,710.8743707,42.7697543,bilinear,FALSE,TRUE,-32.05,40.60560557,3.073790406,,,,,,
b1_hn_ww_p1,12-Jun,B1,6,1,HN,WW,29.16,1.95,17,16.72131148,1050,0,t2,gibson,43.61329652,251.4432379,0.767855916,1.501573737,24.99435673,215.4492492,2.389839775,388.5925542,NA,4.77062242,0.382269099,17.02372999,NA,8.904725297,259.9845115,NA,709.9749703,42.73766379,bilinear,FALSE,TRUE,-31,42.36681217,4.160301046,,,,,,
b1_hn_ww_p2,12-Jun,B1,6,2,HN,WW,29.16,1.95,17,16.72131148,1050,0,t2,gibson,39.81283514,273.9472891,0.871686694,1.507925453,25.02780546,180.8711468,1.52679299,315.5784421,NA,3.546379721,0.248605391,15.64858367,NA,7.252518555,278.5728549,NA,712.0310638,42.81095722,bilinear,FALSE,TRUE,-30.24,42.9254014,3.147370818,,,,,,
b1_hn_ww_p3,12-Jun,B1,6,3,HN,WW,29.16,1.95,17,16.72131148,1050,0,t2,gibson,41.6496315,266.9699145,0.862118082,1.508530067,25.01722917,192.2249133,1.719274766,355.8597636,NA,3.729337479,0.313218231,15.66460728,NA,14.33372002,292.761076,NA,711.3801257,42.78776737,bilinear,FALSE,TRUE,-30.23,41.7240032,3.404944466,,,,,,
b1_hn_ww_p4,12-Jun,B1,6,4,HN,WW,29.16,1.95,17,16.72131148,1050,0,t2,gibson,34.97661102,294.0212485,0.946389132,1.501863805,25.00779565,147.2637533,1.824060906,234.1884011,NA,2.000787509,0.267105908,10.68377837,NA,10.53197272,260.2650034,NA,710.799332,42.76707969,bilinear,FALSE,TRUE,-31.27,43.08000946,3.385754776,,,,,,
b1_hn_ww_p5,13-Jun,B1,6,5,HN,WW,29.16,1.95,17,16.72131148,1050,0,t2,gibson,41.16420722,285.9767591,1.13073993,1.3380568,24.98923697,170.1803518,3.090677959,259.7063893,NA,2.043256122,0.505638491,NA,NA,56.64710446,230.047008,NA,710.4396209,42.74070967,bilinear,FALSE,FALSE,-30.54,42.3653956,4.092148227,,,,,,
b1_hn_ww_p6,12-Jun,B1,6,6,HN,WW,29.16,1.95,17,16.72131148,1050,0,t2,gibson,49.43262392,258.9141144,1.080467045,1.452820459,25.03289907,240.3377405,2.001862911,552.1058588,NA,4.9778572,0.358797705,22.01695972,NA,10.71346847,304.3292583,NA,712.3866816,42.82288773,bilinear,FALSE,TRUE,-30.78,42.89329358,4.20391835,,,,,,
