ID_trt,n_trt,drought,plant,DAD,FC
B3,LN,FDD,4,28,0.180327869
B3,LN,FDD,4,29,0.180327869
B3,LN,FDD,4,30,0.180327869
B3,LN,FDD,4,31,0.180327869
B3,LN,FDD,4,32,0.180327869
B3,LN,FDD,4,33,0.180327869
B3,LN,FDD,4,34,0.180327869
B3,LN,FDD,4,35,0.180327869
B3,LN,FDD,4,36,0.163934426
B3,LN,FDD,4,37,0.786885246
B3,LN,FDD,4,38,0.786885246
B3,LN,FDD,4,39,0.721311475
B3,LN,FDD,4,40,0.655737705
B3,LN,FDD,4,41,0.557377049
B3,LN,FDD,5,1,0.983606557
B3,LN,FDD,5,2,0.885245902
B3,LN,FDD,5,3,0.844262295
B3,LN,FDD,5,4,0.778688525
B3,LN,FDD,5,5,0.639344262
B3,LN,FDD,5,6,0.598360656
B3,LN,FDD,5,7,0.56557377
B3,LN,FDD,5,8,0.491803279
B3,LN,FDD,5,9,0.409836066
B3,LN,FDD,5,10,0.368852459
B3,LN,FDD,5,11,0.336065574
B3,LN,FDD,5,12,0.327868852
B3,LN,FDD,5,13,0.327868852
B3,LN,FDD,5,14,0.327868852
B3,LN,FDD,5,15,0.327868852
B3,LN,FDD,5,16,0.327868852
B3,LN,FDD,5,17,0.327868852
B3,LN,FDD,5,18,0.327868852
B3,LN,FDD,5,19,0.327868852
B3,LN,FDD,5,20,0.213114754
B3,LN,FDD,5,21,0.196721311
B3,LN,FDD,5,22,0.196721311
B3,LN,FDD,5,23,0.196721311
B3,LN,FDD,5,24,0.196721311
B3,LN,FDD,5,25,0.196721311
B3,LN,FDD,5,26,0.180327869
B3,LN,FDD,5,27,0.180327869
B3,LN,FDD,5,28,0.180327869
B3,LN,FDD,5,29,0.180327869
B3,LN,FDD,5,30,0.852459016
B3,LN,FDD,5,31,0.786885246
B3,LN,FDD,5,32,0.68852459
B3,LN,FDD,5,33,0.557377049
B3,LN,FDD,5,34,0.524590164
B3,LN,FDD,5,35,0.409836066
B3,LN,FDD,5,36,0.360655738
B3,LN,FDD,5,37,0.327868852
B3,LN,FDD,5,38,0.262295082
B3,LN,FDD,6,1,0.983606557
B3,LN,FDD,6,2,0.885245902
B3,LN,FDD,6,3,0.860655738
B3,LN,FDD,6,4,0.795081967
B3,LN,FDD,6,5,0.672131148
B3,LN,FDD,6,6,0.631147541
B3,LN,FDD,6,7,0.614754098
B3,LN,FDD,6,8,0.557377049
B3,LN,FDD,6,9,0.491803279
B3,LN,FDD,6,10,0.43442623
B3,LN,FDD,6,11,0.418032787
B3,LN,FDD,6,12,0.327868852
B3,LN,FDD,6,13,0.327868852
B3,LN,FDD,6,14,0.327868852
B3,LN,FDD,6,15,0.327868852
B3,LN,FDD,6,16,0.327868852
B3,LN,FDD,6,17,0.327868852
B3,LN,FDD,6,18,0.327868852
B3,LN,FDD,6,19,0.327868852
B3,LN,FDD,6,20,0.245901639
B3,LN,FDD,6,21,0.213114754
B3,LN,FDD,6,22,0.196721311
B3,LN,FDD,6,23,0.196721311
B3,LN,FDD,6,24,0.196721311
B3,LN,FDD,6,25,0.196721311
B3,LN,FDD,6,26,0.180327869
B3,LN,FDD,6,27,0.180327869
B3,LN,FDD,6,28,0.180327869
B3,LN,FDD,6,29,0.180327869
B3,LN,FDD,6,30,0.852459016
B3,LN,FDD,6,31,0.803278689
B3,LN,FDD,6,32,0.721311475
B3,LN,FDD,6,33,0.590163934
B3,LN,FDD,6,34,0.557377049
B3,LN,FDD,6,35,0.442622951
